TRI_FACILITY_ID,V_TRI_FORM_R_COMP_EZ.FACILITY_NAME,V_TRI_FORM_R_COMP_EZ.EPA_REGISTRY_ID,V_TRI_FORM_R_COMP_EZ.STATE_ABBR,V_TRI_FORM_R_COMP_EZ.PRIMARY_NAICS_CODE,V_TRI_FORM_R_COMP_EZ.INDUSTRY_CODE,V_TRI_FORM_R_COMP_EZ.DOC_CTRL_NUM,V_TRI_FORM_R_COMP_EZ.CHEM_NAME,V_TRI_FORM_R_COMP_EZ.TRI_CHEM_ID,V_TRI_FORM_R_COMP_EZ.ELEMENTAL_METAL_INCLUDED,V_TRI_FORM_R_COMP_EZ.REPORTING_YEAR,V_TRI_FORM_R_COMP_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_COMP_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_COMP_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_COMP_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_COMP_EZ.FUGITIVE_TOT_REL,V_TRI_FORM_R_COMP_EZ.STACK_TOT_REL,V_TRI_FORM_R_COMP_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_COMP_EZ.WATER_BODY_NAME_1,V_TRI_FORM_R_COMP_EZ.WATER_RELEASE_1,V_TRI_FORM_R_COMP_EZ.WATER_BODY_NAME_2,V_TRI_FORM_R_COMP_EZ.WATER_RELEASE_2,V_TRI_FORM_R_COMP_EZ.WATER_BODY_NAME_3,V_TRI_FORM_R_COMP_EZ.WATER_RELEASE_3,V_TRI_FORM_R_COMP_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_COMP_EZ.RCRA_C_TOT_REL,V_TRI_FORM_R_COMP_EZ.OTH_LANDF_TOT_REL,V_TRI_FORM_R_COMP_EZ.SURF_IMP_TOT_REL,V_TRI_FORM_R_COMP_EZ.SRS_ID
80631BRDNN45025,SOUTHERN FOODS GROUP LLC D/B/A MEADOW GOLD DAIRIES,110000495358,CO,311511,311,1319217882303,NITRIC ACID,7697372,N,2019,10,0,10,10,5,5,0,NA,0,,,,,0,0,0,0,152686
80011SRFRC18401,U.S. DOD USAF BUCKLEY AFB CO,110022521582,CO,928110,999,1319218244770,NAPHTHALENE,91203,N,2019,8,14,22,8,0,8,0,NA,0,,,,,0,0,0,0,13326
8100WLTFLS1739E,ALTA FUELS LLC - PUEBLO PLANT,110058904958,CO,424710,4247,1319218457265,TOLUENE,108883,N,2019,296,0,296,296,0,296,0,NA,0,,,,,0,0,0,0,25452
8061WMLTCH1CHRI,MULTI-CHEM GROUP EATON CO FACILITY,110054825506,CO,424690,4246,1319218040881,METHANOL,67561,N,2019,720,0,720,720,330,390,0,NA,0,,,,,0,0,0,0,4283
80022KCHPR4310E,BKEP MATERIALS LLC-DENVER,110001430531,CO,324121,324,1319217720022,BENZO(G H I)PERYLENE,191242,N,2019,0,0,0,0,0,0,0,SAND CREEK,0,,,,,0,0,0,0,40576
80401DLPHC12THF,MOLSON COORS USA LLC - GOLDEN BREWERY,110033145736,CO,312120,3121,1319217972823,NITRATE COMPOUNDS,N511,N,2019,"36,000",0,36000,0,0,0,36000,CLEAR CREEK,36000,,,,,0,0,0,0,649616
80540STHWS5134U,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,110000467450,CO,327310,327,1319218508810,LEAD COMPOUNDS,N420,N,2019,575,0,575.3305,10.53,7.18,3.35,0.0805,ST VRAIN CREEK,0.0805,,,,,564.72,0,564.72,0,650002
80860CRPPL2755S,CRIPPLE CREEK & VICTOR GOLD MINING CO,110041971337,CO,212221,2122,1319218055756,LEAD COMPOUNDS,N420,N,2019,"6,450,970",23.6,6450993.8,1041.3,1041.3,0,0,NA,0,,,,,6449928.9,0,0,0,650002
81626TRSTT2201R,TRI-STATE GENERATION & TRANSMISSION-CRAIG STATION,110041086393,CO,221112,2211,1319218014645,LEAD COMPOUNDS,N420,N,2019,69,14700,14768.75,67.07,2.47,64.6,0,JOHNSON GULCH,0,,,,,1.68,0,0,1.68,650002
80631BRDNN45025,SOUTHERN FOODS GROUP LLC D/B/A MEADOW GOLD DAIRIES,110000495358,CO,311511,311,1319217882291,NITRATE COMPOUNDS,N511,N,2019,10,3352.9,3362.9,10,5,5,0,NA,0,,,,,0,0,0,0,649616
80026LFRGW1160R,MARTIN MARIETTA ROCK CREEK READY MIX,110012702664,CO,327320,327,1319218213510,LEAD  and LEAD COMPOUNDS,N420,Y,2019,1,0,0.5147,0.5147,0,0.5147,0,NA,0,,,,,0,0,0,0,650002
80301LXMRK6555M,LEXMARK INTERNATIONAL INC,110000467236,CO,325992,325,1319218184632,1 4-DIOXANE,123911,N,2019,755,0,755,755,5,750,0,NA,0,,,,,0,0,0,0,33241
80701LPRNF2400E,LEPRINO FOODS CO,110011372335,CO,311513,311,1319217893243,NITRATE COMPOUNDS,N511,N,2019,430,0,430,0,0,0,430,SOUTH PLATTE RIVER,430,,,,,0,0,0,0,649616
80642CHMCLHUDSO,CHEMICAL & METAL INDUSTRIES INC,110012141798,CO,325180,325,1319217635604,PENTACHLOROBENZENE,608935,N,2019,0,0,0,0,0,0,0,NA,0,,,,,0,0,0,0,59261
81001BFGDR50WIL,GOODRICH CARBON OPERATIONS,110041165093,CO,336413,336,1319218516641,PROPYLENE,115071,N,2019,5,0,5,5,5,0,0,NA,0,,,,,0,0,0,0,29009
80551KDKCLCOUNT,KODAK ALARIS COLORADO,110000467502,CO,325992,325,1319217874421,TOLUENE,108883,N,2019,"27,378",0,27378,27378,2039,25339,0,NA,0,,,,,0,0,0,0,25452
80549RWHDN2700E,RAWHIDE ENERGY STATION,110000607148,CO,221112,2211,1319217923907,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,N,2019,83,0,83.4,83.4,0,83.4,0,NA,0,,,,,0,0,0,0,152405
80759YMTHN3848C,YUMA ETHANOL LLC,110031262498,CO,325193,325,1319217941172,ACETALDEHYDE,75070,N,2019,"13,549",0,13549,13549,4,13545,0,NA,0,,,,,0,0,0,0,5280
8060WGGRGT1857H,AGGREGATE INDUSTRIES WCR INC BRIGHTON READY MIX PLANT,110060258288,CO,327320,327,1319217803586,LEAD  and LEAD COMPOUNDS,N420,Y,2019,0,0,0.1,0.1,0.1,0,0,NA,0,,,,,0,0,0,0,650002
8053WLDCST18214,OLDCASTLE INFRASTRUCTURE,110046332875,CO,327390,327,1319218059196,MERCURY COMPOUNDS,N458,N,2019,0,0,0,0,0,0,0,UNNAMED WATER BODY,0,,,,,0,0,0,0,650028
80860CRPPL2755S,CRIPPLE CREEK & VICTOR GOLD MINING CO,110041971337,CO,212221,2122,1319218055794,AMMONIA,7664417,N,2019,200,18,218,200,200,0,0,NA,0,,,,,0,0,0,0,152389
81004CFSTL225CA,EVRAZ ROCKY MOUNTAIN STEEL,110000467833,CO,331110,331,1319217824299,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,N,2019,180,1250,1430,180,78,102,0,ARKANSAS RIVER,0,,,,,0,0,0,0,649475
80301SYNTX2075N,CORDEN PHARMA COLORADO INC,110000467281,CO,325411,325,1319218507022,DICHLOROMETHANE,75092,N,2019,"1,500",0,1500,1500,750,750,0,BOULDER CREEK,0,,,,,0,0,0,0,5306
80216SHLND156W5,NEXEO SOLUTIONS LLC,110000859438,CO,424690,4246,1319218519395,METHANOL,67561,N,2019,"2,519",2100.0001,4618.7171,2518.717,2518.717,0,0,NA,0,,,,,0,0,0,0,4283
80550MTLCN12011,METAL CONTAINER CORPORTION - WINDSOR CAN PLANT,110000467487,CO,332431,332,1319218309173,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,N,2019,220,0,220,220,0,220,0,NA,0,,,,,0,0,0,0,152405
8062WPLTTH3281R,PILOT THOMAS LOGISTICS - FORT LUPTON,110070069366,CO,424710,4247,1319218359469,POLYCYCLIC AROMATIC COMPOUNDS,N590,N,2019,0,0,0.034,0.034,0.01,0.024,0,NA,0,,,,,0,0,0,0,649749
80817RYNXN14020,COLORADO SPRINGS UTILITIES RAY NIXON POWER PLANT,110000467646,CO,221112,2211,1319218420495,ZINC COMPOUNDS,N982,N,2019,"10,167",0,10167.4,559.4,0.4,559,0,NA,0,,,,,9608,0,6082,30,649699
8150WHLLBR3199D,HALLIBURTON GRAND JUNCTION FIELD CAMP,,CO,424690,4246,1319218041287,TOLUENE,108883,N,2019,0,0,0,0,0,0,0,,,,,,,0,0,0,0,25452
80301SYNTX2075N,CORDEN PHARMA COLORADO INC,110000467281,CO,325411,325,1319218507059,N N-DIMETHYLFORMAMIDE,68122,N,2019,"1,000",250,1250,1000,250,750,0,BOULDER CREEK,0,,,,,0,0,0,0,4416
80913FRTCRCOMMA,US ARMY FORT CARSON (CANTONMENT),110000495367,CO,928110,999,1319217789837,COPPER,7440508,N,2019,"418,253",0,418253,0,0,0,0,NA,0,,,,,418253,0,0,0,150086
8063WNLCCM2696T,NALCO COMPANY-GREELEY,110069290261,CO,424690,4246,1319218157535,ETHYLENE GLYCOL,107211,N,2019,0,0,0,0,0,0,0,,,,,,,0,0,0,0,24257
8063WCSTLC122E4,COASTAL CHEMICAL CO LLC,110070069426,CO,424690,4246,1319217873520,ETHYLENE GLYCOL,107211,N,2019,30,0,30,30,25,5,0,NA,0,,,,,0,0,0,0,24257
80640SNCLR8581E,SINCLAIR DENVER PRODUCTS TERMINAL,110000467600,CO,424710,4247,1319218093502,BENZO(G H I)PERYLENE,191242,N,2019,0,0,0,0,0,0,0,NA,0,,,,,0,0,0,0,40576
80401VLLYM17755,ROCKY MOUNTAIN METAL CONTAINER,110033145745,CO,332431,332,1319218430155,LEAD,7439921,N,2019,1,0,0.58,0.08,0,0.08,0.5,CLEAR CREEK,0.5,,,,,0,0,0,0,149583
80907MNSTN115TA,MANSTONE LLC,110001390334,CO,326199,326,1319217888092,STYRENE,100425,N,2019,"1,601",0,1601,1601,724,877,0,NA,0,,,,,0,0,0,0,19414
8100WLTFLS1739E,ALTA FUELS LLC - PUEBLO PLANT,110058904958,CO,424710,4247,1319218457238,ETHYLBENZENE,100414,N,2019,23,0,23,23,0,23,0,NA,0,,,,,0,0,0,0,19406
80022PHLLP3960E,PHILLIPS 66 CO DENVER TERMINAL,110000466638,CO,424710,4247,1319217824287,BENZENE,71432,N,2019,670,0,670,670,200,470,0,SAND CREEK,0,,,,,0,0,0,0,4754
8163WGLGYP74HIG,AMERICAN GYPSUM WALLBOARD PLANT - EAGLE,110069999369,CO,327420,327,1319217773124,LEAD,7439921,N,2019,1,0,0.595,0.595,0,0.595,0,EAGLE RIVER,0,GYPSUM CREEK,0,,,0,0,0,0,149583
81004GCCRG3372L,GCC RIO GRANDE INC,110037262636,CO,327310,327,1319218370536,DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,N,2019,0,0,0.0008405,0.0008405,0.0007246,0.000116,0,NA,0,,,,,0,0,0,0,755371
80216WNSCR5201F,OWENS CORNING ROOFING & ASPHALT LLC,110007350231,CO,324122,324,1319218482038,POLYCYCLIC AROMATIC COMPOUNDS,N590,N,2019,3,11.4,14.5,3.1,0,3.1,0,NA,0,,,,,0,0,0,0,649749
8063WNLCCM2696T,NALCO COMPANY-GREELEY,110069290261,CO,424690,4246,1319218157562,N-HEXANE,110543,N,2019,0,0,0,0,0,0,0,,,,,,,0,0,0,0,26740
80019MSTRC23655,ELKAY WOOD PRODUCTS CO,110030489077,CO,337110,337,1319218278834,ETHYLBENZENE,100414,N,2019,"9,908",0,9908,9908,2477,7431,0,NA,0,,,,,0,0,0,0,19406
80301HSRCH5555A,AGILENT TECHNOLOGIES BOULDER CO,110014375853,CO,325412,325,1319218144475,DICHLOROMETHANE,75092,N,2019,43,0.0056,42.7056,42.7,25,17.7,0,NA,0,,,,,0,0,0,0,5306
8100WSRMYP45825,US ARMY PUEBLO CHEMICAL DEPOT,110000912665,CO,928110,999,1319217836459,LEAD,7439921,N,2019,"1,299",0,1299.1,0,0,0,0,NA,0,,,,,1299.1,0,0,0,149583
80104LFRGW309SG,MARTIN MARIETTA CASTLE ROCK READY MIX,110001430728,CO,327320,327,1319218213635,LEAD  and LEAD COMPOUNDS,N420,Y,2019,0,0,0.3416,0.3416,0,0.3416,0,NA,0,,,,,0,0,0,0,650002
80723PBLCS14940,PUBLIC SERVICE CO OF COLORADO PAWNEE STATION,110000600234,CO,221112,2211,1319218084390,BENZO(G H I)PERYLENE,191242,N,2019,0,0,0.0467,0.0467,0.003,0.0437,0,NA,0,,,,,0,0,0,0,40576
