,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_SITE_RELEASE,TOTAL_OFF_SITE_RELEASE,TOTAL_ON_OFF_SITE_RELEASE,AIR_TOTAL_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE,OTH_LANDF_TOT_REL,SURF_IMP_TOT_REL,OTH_DISP_TOT_REL,OTHER_LAND_RELEASE,TOT_ALL_OTH_CATEGS,State,State_Abbr,Latitude,Longitude,tooltip_fld
51,2019,AL,61510584.47771957,18783717.964919094,80294302.44263853,28735587.592572697,10634933.511142302,22140063.374004416,4764210.157182696,1813850.4905458002,213671.42000000004,213671.42000000004,20818954.747823298,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 80294302
͏
Total On: 61510584
͏
Total Off: 18783718
͏
Total Land: 22140063
͏
Total Water: 10634934
͏
Total Air: 28735588"
52,1994,AR,42611792.0,2619025.0,45230817.0,30237452.0,1019200.0,11355140.0,360.0,1335825.0,4476.0,563980.0,12311978.0,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 45230817
͏
Total On: 42611792
͏
Total Off: 2619025
͏
Total Land: 11355140
͏
Total Water: 1019200
͏
Total Air: 30237452"
53,1995,AR,37113777.0,3063290.0,40177067.0,31342547.0,1690008.0,4081222.0,0.0,796366.0,5140.0,504969.0,6745283.0,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 40177067
͏
Total On: 37113777
͏
Total Off: 3063290
͏
Total Land: 4081222
͏
Total Water: 1690008
͏
Total Air: 31342547"
54,1996,AR,35154641.0,4959093.0,40113734.0,29336769.0,2275767.0,3542105.0,325630.0,1213895.0,15530.0,15530.0,7949965.0,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 40113734
͏
Total On: 35154641
͏
Total Off: 4959093
͏
Total Land: 3542105
͏
Total Water: 2275767
͏
Total Air: 29336769"
55,1997,AR,34339894.0,26916018.0,61255912.0,26286893.0,2650939.0,5402062.0,1359978.0,2101120.0,13145.0,13145.0,29512859.0,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 61255912
͏
Total On: 34339894
͏
Total Off: 26916018
͏
Total Land: 5402062
͏
Total Water: 2650939
͏
Total Air: 26286893"
56,1998,AR,35035890.0,20384422.0,55420312.0,27519337.0,1901199.0,5615354.0,2239189.0,1879095.0,18366.0,18366.0,22877701.0,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 55420312
͏
Total On: 35035890
͏
Total Off: 20384422
͏
Total Land: 5615354
͏
Total Water: 1901199
͏
Total Air: 27519337"
57,1999,AR,36149128.0,19381190.0,55530318.0,28252109.0,1866285.0,6030734.0,3051497.0,1862301.0,13007.0,13007.0,22522460.0,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 55530318
͏
Total On: 36149128
͏
Total Off: 19381190
͏
Total Land: 6030734
͏
Total Water: 1866285
͏
Total Air: 28252109"
58,2000,AR,37382312.6656888,27033592.9900237,64415905.65571262,26415607.872981604,2289486.4162061,8677218.3765014,4255715.117228801,2351660.2690902,33145.000054899996,33145.000054899996,30338124.9801512,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 64415906
͏
Total On: 37382313
͏
Total Off: 27033593
͏
Total Land: 8677218
͏
Total Water: 2289486
͏
Total Air: 26415608"
59,2001,AR,31787164.744763084,18638395.446830302,50425560.191593416,20365141.48286709,3190320.7374902004,8231702.524405799,3498432.8945807004,2815332.0035275,51504.0761103,51504.0761103,21970778.367017604,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 50425560
͏
Total On: 31787165
͏
Total Off: 18638395
͏
Total Land: 8231703
͏
Total Water: 3190321
͏
Total Air: 20365141"
60,2002,AR,32643352.338746995,10089887.1519646,42733239.49071179,18869802.5876642,3579426.7472489006,10194123.003834201,3400466.9931774996,2461933.5027503,213257.1602095,213257.1602095,15169657.461161299,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 42733239
͏
Total On: 32643352
͏
Total Off: 10089887
͏
Total Land: 10194123
͏
Total Water: 3579427
͏
Total Air: 18869803"
61,2003,AR,35266511.590028495,10123537.1570961,45390048.74712438,21131920.5352552,5419108.250118501,8715482.804654796,2439167.4067806005,2039402.7502227004,43457.2901764,43457.2901764,15003865.309571108,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 45390049
͏
Total On: 35266512
͏
Total Off: 10123537
͏
Total Land: 8715483
͏
Total Water: 5419108
͏
Total Air: 21131921"
62,2004,AR,41244563.51129743,12498751.1786521,53743314.68994932,22793219.242731813,6912448.349503099,11538895.9190625,4699435.1396749,2061513.5200141,27278.78002,27278.78002,18282135.49797249,Arkansas,AR,34.969704,-92.373123,"Total On/Off Site: 53743315
͏
Total On: 41244564
͏
Total Off: 12498751
͏
Total Land: 11538896
͏
Total Water: 6912448
͏
Total Air: 22793219"
