,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_SITE_RELEASE,TOTAL_OFF_SITE_RELEASE,TOTAL_ON_OFF_SITE_RELEASE,AIR_TOTAL_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE,OTH_LANDF_TOT_REL,SURF_IMP_TOT_REL,OTH_DISP_TOT_REL,OTHER_LAND_RELEASE,TOT_ALL_OTH_CATEGS,State,State_Abbr,Latitude,Longitude
812,2000,NJ,23672518.832133695,6328049.125129297,30000567.957262885,17847927.9371318,5618780.791199601,205810.1038025,48768.0634307,2087.0,1923.036491,1923.036491,44124442.784388304,New Jersey,NJ,40.298904,-74.521011
813,2001,NJ,18209991.5735831,15642668.797887998,33852660.37147089,14165105.631385796,3729606.050948301,315279.8912491,63289.389,2127.0,84747.1,84747.1,46193175.80810848,New Jersey,NJ,40.298904,-74.521011
814,2002,NJ,19232243.80063651,4491345.001714202,23723588.802350607,13715684.440738598,4863870.1690606,652689.1908372999,84106.94,3830.1,440159.35000000003,440159.35000000003,40068421.07600398,New Jersey,NJ,40.298904,-74.521011
815,2003,NJ,17411508.3346369,6463968.872547097,23875477.20718401,12922994.699107502,4148658.8128811,339854.82264820003,33841.0,6550.92,188267.9,188267.9,34512062.896532305,New Jersey,NJ,40.298904,-74.521011
816,2004,NJ,18128631.813137602,3930372.0096363015,22059003.822773904,12663420.832565602,5030959.080571901,434251.9000000001,25544.010000000002,5976.65,309362.82,309362.82,25405123.03273991,New Jersey,NJ,40.298904,-74.521011
817,2005,NJ,20177861.737499494,3693797.4020023006,23871659.13950159,13374207.5271278,6444282.030146501,359372.1802252001,18296.57,11941.970000000001,191335.18,191335.18,21627875.115216415,New Jersey,NJ,40.298904,-74.521011
818,2006,NJ,18185910.022884898,3680369.213661899,21866279.23654671,11442625.085935088,6323347.4760002,419937.46094960003,16148.079999999998,10021.77,249301.28,249301.28,20562591.8336475,New Jersey,NJ,40.298904,-74.521011
819,2007,NJ,17127971.1903906,3518344.196665,20646315.387055602,9014081.479047,7668893.900999999,444995.8103435,5018.5,1052.0,271264.83,271264.83,22909406.2910241,New Jersey,NJ,40.298904,-74.521011
820,2008,NJ,15973197.817773204,2550131.273281,18523329.0910542,6187526.365773199,9377555.722000003,408115.73000000004,4652.0,2480.0,252349.72999999998,252349.72999999998,17840673.668455902,New Jersey,NJ,40.298904,-74.521011
821,2009,NJ,10722110.073517805,2524405.1994318007,13246515.272949705,4334988.334914799,6004109.994000003,383011.744603,1.0,2446.0,224113.98460300002,224113.98460300002,14133976.432948995,New Jersey,NJ,40.298904,-74.521011
822,2010,NJ,13123663.8896222,3549724.640953801,16673388.530575894,4078817.815280198,8492698.680000002,552147.3943419998,179989.0,23327.0,226253.194342,226253.194342,18818111.7422506,New Jersey,NJ,40.298904,-74.521011
823,2011,NJ,11184712.7935941,3034731.8188833003,14219444.612477286,2249740.696674099,8694567.290000001,240404.80692000003,0.0,529.61692,110665.79,110665.79,16048466.576864788,New Jersey,NJ,40.298904,-74.521011
824,2012,NJ,8583289.446483692,4487766.821589502,13071056.268073192,2174206.705483701,6191397.691,217685.05,0.0,477.85,98174.4,98174.4,14991812.334255496,New Jersey,NJ,40.298904,-74.521011
825,2013,NJ,7727112.617482496,3413533.442944301,11140646.060426801,2129390.373722501,5411106.39329,186615.85046999998,0.0,935.8504700000001,115503.4,115503.4,14835212.547440298,New Jersey,NJ,40.298904,-74.521011
826,2014,NJ,7756773.149317897,4602507.671107699,12359280.820425803,2126716.453317901,5394472.915999999,235583.78,0.0,561.8800000000001,193190.7,193190.7,17659448.423475597,New Jersey,NJ,40.298904,-74.521011
827,2015,NJ,7231716.048373001,47526698.59518711,54758414.64356009,2016790.235879001,5090299.792494002,124626.01999999999,0.0,4.8,93727.82,93727.82,60038993.670676224,New Jersey,NJ,40.298904,-74.521011
828,2016,NJ,6133981.101906598,6054211.674362299,12188192.77626891,1852086.1337065995,4130660.8582000006,151234.11,822.0,1.2,117019.11,117019.11,19785561.592096306,New Jersey,NJ,40.298904,-74.521011
829,2017,NJ,5579236.4543568045,6406339.345966601,11985575.800323399,1782970.1814868,3637874.64287,158391.63,0.0,1.3,134572.87,134572.87,20046424.9960856,New Jersey,NJ,40.298904,-74.521011
830,2018,NJ,5887602.639930203,6941218.163736302,12828820.803666497,2002401.7559302007,3740600.684,144600.2,0.0,2.8,114729.40000000001,114729.40000000001,21427606.33674609,New Jersey,NJ,40.298904,-74.521011
831,2019,NJ,7762287.037571096,6389348.5925544,14151635.630125603,1694545.1029010997,4756023.51467,1311718.4200000002,145.03,308.6,1284441.7900000003,1284441.7900000003,17716169.230115,New Jersey,NJ,40.298904,-74.521011
832,1994,NM,44693602.0,109241.0,44802843.0,2152856.0,1928.0,42538818.0,25.0,378863.0,42159670.0,42159670.0,470699.0,New Mexico,NM,34.840515,-106.248482
833,1995,NM,45005032.0,77323.0,45082355.0,1833792.0,4305.0,43166935.0,25.0,444136.0,41738692.0,41738692.0,1472892.0,New Mexico,NM,34.840515,-106.248482
834,1996,NM,44476437.0,72996.0,44549433.0,2055400.0,16424.0,42404613.0,30.0,1389323.0,39977657.0,39977657.0,1555981.0,New Mexico,NM,34.840515,-106.248482
835,1997,NM,41884671.0,83697.0,41968368.0,2473420.0,45055.0,39366196.0,285.0,974254.0,37619113.0,37619113.0,1468592.0,New Mexico,NM,34.840515,-106.248482
836,1998,NM,258788706.0,5681436.0,264470142.0,2579480.0,57999.0,256151227.0,5964204.0,34483300.0,214957014.0,214957014.0,6944192.0,New Mexico,NM,34.840515,-106.248482
837,1999,NM,169494516.0,4516336.0,174010852.0,1624492.0,60245.0,167809779.0,4654813.0,44700664.0,118307718.0,118307718.0,5472909.0,New Mexico,NM,34.840515,-106.248482
838,2000,NM,122366426.88261652,5133451.999999999,127499878.8826165,1186838.2826165003,45397.6,121134190.99999999,5680664.4,19937426.2,95406021.4,95406021.4,5876948.399999999,New Mexico,NM,34.840515,-106.248482
839,2001,NM,103274180.5226505,4813131.450000001,108087311.9726505,1053238.6326505,39975.0,102180966.89,5014355.0,2787318.61,94206528.0,94206528.0,5409436.12,New Mexico,NM,34.840515,-106.248482
